matchup_id,player_a,player_b,model,result
83,Kareem Abdul-Jabbar,LaMarcus Aldridge,gemma3:12b,Kareem Abdul-Jabbar
84,Kareem Abdul-Jabbar,Alex English,gemma3:12b,Kareem Abdul-Jabbar
85,Kareem Abdul-Jabbar,Adrian Dantley,gemma3:12b,Kareem Abdul-Jabbar
86,Kareem Abdul-Jabbar,Bob Lanier,gemma3:12b,Kareem Abdul-Jabbar
87,Kareem Abdul-Jabbar,Bernard King,gemma3:12b,Kareem Abdul-Jabbar
88,Kareem Abdul-Jabbar,Tony Parker,gemma3:12b,Kareem Abdul-Jabbar
89,Kareem Abdul-Jabbar,Manu Ginobili,gemma3:12b,Kareem Abdul-Jabbar
90,Kareem Abdul-Jabbar,Pau Gasol,gemma3:12b,Kareem Abdul-Jabbar
91,Kareem Abdul-Jabbar,Ben Wallace,gemma3:12b,Kareem Abdul-Jabbar
92,Kareem Abdul-Jabbar,Chauncey Billups,gemma3:12b,Kareem Abdul-Jabbar
93,Kareem Abdul-Jabbar,Dennis Johnson,gemma3:12b,Kareem Abdul-Jabbar
94,Kareem Abdul-Jabbar,Joe Dumars,gemma3:12b,Kareem Abdul-Jabbar
95,Kareem Abdul-Jabbar,Penny Hardaway,gemma3:12b,Kareem Abdul-Jabbar
96,Kareem Abdul-Jabbar,Tim Hardaway,gemma3:12b,Kareem Abdul-Jabbar
97,Kareem Abdul-Jabbar,Mitch Richmond,gemma3:12b,Kareem Abdul-Jabbar
98,Kareem Abdul-Jabbar,Chris Mullin,gemma3:12b,Kareem Abdul-Jabbar
99,Kareem Abdul-Jabbar,Chris Webber,gemma3:12b,Kareem Abdul-Jabbar
100,Kareem Abdul-Jabbar,Shawn Kemp,gemma3:12b,Kareem Abdul-Jabbar
101,Kareem Abdul-Jabbar,Rasheed Wallace,gemma3:12b,Kareem Abdul-Jabbar
102,Kareem Abdul-Jabbar,Nikola Jokic,gemma3:12b,Kareem Abdul-Jabbar
103,Kareem Abdul-Jabbar,Luka Doncic,gemma3:12b,Kareem Abdul-Jabbar
104,Kareem Abdul-Jabbar,Joel Embiid,gemma3:12b,Kareem Abdul-Jabbar
105,Kareem Abdul-Jabbar,Jayson Tatum,gemma3:12b,Kareem Abdul-Jabbar
106,Kareem Abdul-Jabbar,Jimmy Butler,gemma3:12b,Kareem Abdul-Jabbar
107,Kareem Abdul-Jabbar,Kyrie Irving,gemma3:12b,Kareem Abdul-Jabbar
108,Kareem Abdul-Jabbar,Devin Booker,gemma3:12b,Kareem Abdul-Jabbar
109,Kareem Abdul-Jabbar,Ja Morant,gemma3:12b,Kareem Abdul-Jabbar
110,Kareem Abdul-Jabbar,Shai Gilgeous-Alexander,gemma3:12b,Kareem Abdul-Jabbar
111,Kareem Abdul-Jabbar,Trae Young,gemma3:12b,Kareem Abdul-Jabbar
112,Kareem Abdul-Jabbar,Donovan Mitchell,gemma3:12b,Kareem Abdul-Jabbar
113,Kareem Abdul-Jabbar,Anthony Edwards,gemma3:12b,Kareem Abdul-Jabbar
114,Kareem Abdul-Jabbar,DeMar DeRozan,gemma3:12b,Kareem Abdul-Jabbar
115,Kareem Abdul-Jabbar,Klay Thompson,gemma3:12b,Kareem Abdul-Jabbar
116,Kareem Abdul-Jabbar,Draymond Green,gemma3:12b,Kareem Abdul-Jabbar
117,Kareem Abdul-Jabbar,Rudy Gobert,gemma3:12b,Kareem Abdul-Jabbar
118,Kareem Abdul-Jabbar,Bam Adebayo,gemma3:12b,Kareem Abdul-Jabbar
119,Kareem Abdul-Jabbar,Pascal Siakam,gemma3:12b,Kareem Abdul-Jabbar
120,Kareem Abdul-Jabbar,Jrue Holiday,gemma3:12b,Kareem Abdul-Jabbar
121,Kareem Abdul-Jabbar,Jaylen Brown,gemma3:12b,Kareem Abdul-Jabbar
122,Kareem Abdul-Jabbar,Paul George,gemma3:12b,Kareem Abdul-Jabbar
123,Kareem Abdul-Jabbar,Artis Gilmore,gemma3:12b,Kareem Abdul-Jabbar
124,Kareem Abdul-Jabbar,Sidney Moncrief,gemma3:12b,Kareem Abdul-Jabbar
125,Kareem Abdul-Jabbar,Jack Sikma,gemma3:12b,Kareem Abdul-Jabbar
126,Kareem Abdul-Jabbar,World B. Free,gemma3:12b,Kareem Abdul-Jabbar
127,Kareem Abdul-Jabbar,Connie Hawkins,gemma3:12b,Kareem Abdul-Jabbar
128,Kareem Abdul-Jabbar,Spencer Haywood,gemma3:12b,Kareem Abdul-Jabbar
129,Kareem Abdul-Jabbar,Marques Johnson,gemma3:12b,Kareem Abdul-Jabbar
130,Kareem Abdul-Jabbar,Tom Heinsohn,gemma3:12b,Kareem Abdul-Jabbar
131,Kareem Abdul-Jabbar,Gail Goodrich,gemma3:12b,Kareem Abdul-Jabbar
132,Kareem Abdul-Jabbar,Paul Westphal,gemma3:12b,Kareem Abdul-Jabbar
133,Kareem Abdul-Jabbar,Marc Gasol,gemma3:12b,Kareem Abdul-Jabbar
134,Kareem Abdul-Jabbar,Al Horford,gemma3:12b,Kareem Abdul-Jabbar
135,Kareem Abdul-Jabbar,Kyle Lowry,gemma3:12b,Kareem Abdul-Jabbar
136,Kareem Abdul-Jabbar,John Wall,gemma3:12b,Kareem Abdul-Jabbar
137,Kareem Abdul-Jabbar,Gilbert Arenas,gemma3:12b,Kareem Abdul-Jabbar
138,Kareem Abdul-Jabbar,Baron Davis,gemma3:12b,Kareem Abdul-Jabbar
139,Kareem Abdul-Jabbar,Amar'e Stoudemire,gemma3:12b,Kareem Abdul-Jabbar
140,Kareem Abdul-Jabbar,Shawn Marion,gemma3:12b,Kareem Abdul-Jabbar
141,Kareem Abdul-Jabbar,Lamar Odom,gemma3:12b,Kareem Abdul-Jabbar
142,Kareem Abdul-Jabbar,Andre Iguodala,gemma3:12b,Kareem Abdul-Jabbar
143,Ray Allen,Giannis Antetokounmpo,gemma3:12b,Giannis Antetokounmpo
144,Ray Allen,Carmelo Anthony,gemma3:12b,Ray Allen
145,Ray Allen,Nate Archibald,gemma3:12b,Ray Allen
146,Ray Allen,Paul Arizin,gemma3:12b,Ray Allen
147,Ray Allen,Charles Barkley,gemma3:12b,Charles Barkley
148,Ray Allen,Rick Barry,gemma3:12b,Ray Allen
149,Ray Allen,Elgin Baylor,gemma3:12b,Elgin Baylor
150,Ray Allen,Dave Bing,gemma3:12b,Ray Allen
151,Ray Allen,Larry Bird,gemma3:12b,Larry Bird
152,Ray Allen,Kobe Bryant,gemma3:12b,Kobe Bryant
153,Ray Allen,Wilt Chamberlain,gemma3:12b,Wilt Chamberlain
154,Ray Allen,Bob Cousy,gemma3:12b,Ray Allen
155,Ray Allen,Dave Cowens,gemma3:12b,Ray Allen
156,Ray Allen,Billy Cunningham,gemma3:12b,Ray Allen
157,Ray Allen,Stephen Curry,gemma3:12b,Stephen Curry
158,Ray Allen,Anthony Davis,gemma3:12b,Anthony Davis
159,Ray Allen,Dave DeBusschere,gemma3:12b,Ray Allen
160,Ray Allen,Clyde Drexler,gemma3:12b,Ray Allen
161,Ray Allen,Tim Duncan,gemma3:12b,Tim Duncan
162,Ray Allen,Kevin Durant,gemma3:12b,Kevin Durant
163,Ray Allen,Julius Erving,gemma3:12b,Julius Erving
164,Ray Allen,Patrick Ewing,gemma3:12b,Ray Allen
165,Ray Allen,Walt Frazier,gemma3:12b,Ray Allen
166,Ray Allen,Kevin Garnett,gemma3:12b,Kevin Garnett
167,Ray Allen,George Gervin,gemma3:12b,Ray Allen
168,Ray Allen,Hal Greer,gemma3:12b,Ray Allen
169,Ray Allen,James Harden,gemma3:12b,James Harden
170,Ray Allen,John Havlicek,gemma3:12b,Ray Allen
171,Ray Allen,Elvin Hayes,gemma3:12b,Elvin Hayes
172,Ray Allen,Allen Iverson,gemma3:12b,Ray Allen
173,Ray Allen,LeBron James,gemma3:12b,LeBron James
174,Ray Allen,Magic Johnson,gemma3:12b,Magic Johnson
175,Ray Allen,Sam Jones,gemma3:12b,Ray Allen
176,Ray Allen,Michael Jordan,gemma3:12b,Michael Jordan
177,Ray Allen,Jason Kidd,gemma3:12b,Ray Allen
178,Ray Allen,Kawhi Leonard,gemma3:12b,Kawhi Leonard
179,Ray Allen,Damian Lillard,gemma3:12b,Ray Allen
180,Ray Allen,Jerry Lucas,gemma3:12b,Ray Allen
181,Ray Allen,Karl Malone,gemma3:12b,Karl Malone
182,Ray Allen,Moses Malone,gemma3:12b,Moses Malone
183,Ray Allen,Pete Maravich,gemma3:12b,Ray Allen
184,Ray Allen,Bob McAdoo,gemma3:12b,Ray Allen
185,Ray Allen,Kevin McHale,gemma3:12b,Ray Allen
186,Ray Allen,George Mikan,gemma3:12b,George Mikan
187,Ray Allen,Reggie Miller,gemma3:12b,Ray Allen
188,Ray Allen,Earl Monroe,gemma3:12b,Ray Allen
189,Ray Allen,Steve Nash,gemma3:12b,Ray Allen
190,Ray Allen,Dirk Nowitzki,gemma3:12b,Dirk Nowitzki
191,Ray Allen,Hakeem Olajuwon,gemma3:12b,Hakeem Olajuwon
192,Ray Allen,Shaquille O'Neal,gemma3:12b,Shaquille O'Neal
193,Ray Allen,Robert Parish,gemma3:12b,Ray Allen
194,Ray Allen,Chris Paul,gemma3:12b,Chris Paul
195,Ray Allen,Gary Payton,gemma3:12b,Gary Payton
196,Ray Allen,Bob Pettit,gemma3:12b,Ray Allen
197,Ray Allen,Paul Pierce,gemma3:12b,Paul Pierce
198,Ray Allen,Scottie Pippen,gemma3:12b,Scottie Pippen
199,Ray Allen,Willis Reed,gemma3:12b,Ray Allen
200,Ray Allen,Oscar Robertson,gemma3:12b,Oscar Robertson
201,Ray Allen,David Robinson,gemma3:12b,David Robinson
202,Ray Allen,Dennis Rodman,gemma3:12b,Ray Allen
203,Ray Allen,Bill Russell,gemma3:12b,Bill Russell
204,Ray Allen,Dolph Schayes,gemma3:12b,Ray Allen
205,Ray Allen,Bill Sharman,gemma3:12b,Ray Allen
206,Ray Allen,John Stockton,gemma3:12b,Ray Allen
207,Ray Allen,Isiah Thomas,gemma3:12b,Ray Allen
208,Ray Allen,Nate Thurmond,gemma3:12b,Ray Allen
209,Ray Allen,Wes Unseld,gemma3:12b,Ray Allen
210,Ray Allen,Dwyane Wade,gemma3:12b,Dwyane Wade
211,Ray Allen,Bill Walton,gemma3:12b,Ray Allen
212,Ray Allen,Jerry West,gemma3:12b,Jerry West
213,Ray Allen,Russell Westbrook,gemma3:12b,Ray Allen
214,Ray Allen,Lenny Wilkens,gemma3:12b,Ray Allen
215,Ray Allen,Dominique Wilkins,gemma3:12b,Ray Allen
216,Ray Allen,James Worthy,gemma3:12b,Ray Allen
217,Ray Allen,Chris Bosh,gemma3:12b,Ray Allen
218,Ray Allen,Dwight Howard,gemma3:12b,Ray Allen
219,Ray Allen,Yao Ming,gemma3:12b,Ray Allen
220,Ray Allen,Tracy McGrady,gemma3:12b,Ray Allen
221,Ray Allen,Vince Carter,gemma3:12b,Ray Allen
222,Ray Allen,Alonzo Mourning,gemma3:12b,Ray Allen
223,Ray Allen,Dikembe Mutombo,gemma3:12b,Ray Allen
224,Ray Allen,Grant Hill,gemma3:12b,Ray Allen
225,Ray Allen,LaMarcus Aldridge,gemma3:12b,Ray Allen
226,Ray Allen,Alex English,gemma3:12b,Ray Allen
227,Ray Allen,Adrian Dantley,gemma3:12b,Ray Allen
228,Ray Allen,Bob Lanier,gemma3:12b,Ray Allen
229,Ray Allen,Bernard King,gemma3:12b,Ray Allen
230,Ray Allen,Tony Parker,gemma3:12b,Ray Allen
231,Ray Allen,Manu Ginobili,gemma3:12b,Ray Allen
232,Ray Allen,Pau Gasol,gemma3:12b,Ray Allen
233,Ray Allen,Ben Wallace,gemma3:12b,Ray Allen
234,Ray Allen,Chauncey Billups,gemma3:12b,Ray Allen
235,Ray Allen,Dennis Johnson,gemma3:12b,Ray Allen
236,Ray Allen,Joe Dumars,gemma3:12b,Ray Allen
237,Ray Allen,Penny Hardaway,gemma3:12b,Ray Allen
238,Ray Allen,Tim Hardaway,gemma3:12b,Ray Allen
239,Ray Allen,Mitch Richmond,gemma3:12b,Ray Allen
240,Ray Allen,Chris Mullin,gemma3:12b,Ray Allen
241,Ray Allen,Chris Webber,gemma3:12b,Ray Allen
242,Ray Allen,Shawn Kemp,gemma3:12b,Ray Allen
243,Ray Allen,Rasheed Wallace,gemma3:12b,Ray Allen
244,Ray Allen,Nikola Jokic,gemma3:12b,Nikola Jokic
245,Ray Allen,Luka Doncic,gemma3:12b,Luka Doncic
246,Ray Allen,Joel Embiid,gemma3:12b,Joel Embiid
247,Ray Allen,Jayson Tatum,gemma3:12b,Jayson Tatum
248,Ray Allen,Jimmy Butler,gemma3:12b,Ray Allen
249,Ray Allen,Kyrie Irving,gemma3:12b,Ray Allen
250,Ray Allen,Devin Booker,gemma3:12b,Ray Allen
251,Ray Allen,Ja Morant,gemma3:12b,Ray Allen
252,Ray Allen,Shai Gilgeous-Alexander,gemma3:12b,Ray Allen
253,Ray Allen,Trae Young,gemma3:12b,Ray Allen
254,Ray Allen,Donovan Mitchell,gemma3:12b,Ray Allen
255,Ray Allen,Anthony Edwards,gemma3:12b,Ray Allen
256,Ray Allen,DeMar DeRozan,gemma3:12b,Ray Allen
257,Ray Allen,Klay Thompson,gemma3:12b,Ray Allen
258,Ray Allen,Draymond Green,gemma3:12b,Ray Allen
259,Ray Allen,Rudy Gobert,gemma3:12b,Ray Allen
260,Ray Allen,Bam Adebayo,gemma3:12b,Ray Allen
261,Ray Allen,Pascal Siakam,gemma3:12b,Ray Allen
262,Ray Allen,Jrue Holiday,gemma3:12b,Ray Allen
263,Ray Allen,Jaylen Brown,gemma3:12b,Ray Allen
264,Ray Allen,Paul George,gemma3:12b,Ray Allen
265,Ray Allen,Artis Gilmore,gemma3:12b,Ray Allen
266,Ray Allen,Sidney Moncrief,gemma3:12b,Ray Allen
267,Ray Allen,Jack Sikma,gemma3:12b,Ray Allen
268,Ray Allen,World B. Free,gemma3:12b,Ray Allen
269,Ray Allen,Connie Hawkins,gemma3:12b,Ray Allen
270,Ray Allen,Spencer Haywood,gemma3:12b,Ray Allen
271,Ray Allen,Marques Johnson,gemma3:12b,Ray Allen
272,Ray Allen,Tom Heinsohn,gemma3:12b,Ray Allen
273,Ray Allen,Gail Goodrich,gemma3:12b,Ray Allen
274,Ray Allen,Paul Westphal,gemma3:12b,Ray Allen
275,Ray Allen,Marc Gasol,gemma3:12b,Ray Allen
276,Ray Allen,Al Horford,gemma3:12b,Ray Allen
277,Ray Allen,Kyle Lowry,gemma3:12b,Ray Allen
278,Ray Allen,John Wall,gemma3:12b,Ray Allen
279,Ray Allen,Gilbert Arenas,gemma3:12b,Ray Allen
280,Ray Allen,Baron Davis,gemma3:12b,Ray Allen
281,Ray Allen,Amar'e Stoudemire,gemma3:12b,Ray Allen
282,Ray Allen,Shawn Marion,gemma3:12b,Ray Allen
283,Ray Allen,Lamar Odom,gemma3:12b,Ray Allen
284,Ray Allen,Andre Iguodala,gemma3:12b,Ray Allen
285,Giannis Antetokounmpo,Carmelo Anthony,gemma3:12b,Giannis Antetokounmpo
286,Giannis Antetokounmpo,Nate Archibald,gemma3:12b,Giannis Antetokounmpo
287,Giannis Antetokounmpo,Paul Arizin,gemma3:12b,Giannis Antetokounmpo
288,Giannis Antetokounmpo,Charles Barkley,gemma3:12b,Giannis Antetokounmpo
289,Giannis Antetokounmpo,Rick Barry,gemma3:12b,Giannis Antetokounmpo
290,Giannis Antetokounmpo,Elgin Baylor,gemma3:12b,Giannis Antetokounmpo
291,Giannis Antetokounmpo,Dave Bing,gemma3:12b,Giannis Antetokounmpo
292,Giannis Antetokounmpo,Larry Bird,gemma3:12b,Larry Bird
293,Giannis Antetokounmpo,Kobe Bryant,gemma3:12b,Giannis Antetokounmpo
294,Giannis Antetokounmpo,Wilt Chamberlain,gemma3:12b,Giannis Antetokounmpo
295,Giannis Antetokounmpo,Bob Cousy,gemma3:12b,Giannis Antetokounmpo
296,Giannis Antetokounmpo,Dave Cowens,gemma3:12b,Giannis Antetokounmpo
297,Giannis Antetokounmpo,Billy Cunningham,gemma3:12b,Giannis Antetokounmpo
298,Giannis Antetokounmpo,Stephen Curry,gemma3:12b,Giannis Antetokounmpo
299,Giannis Antetokounmpo,Anthony Davis,gemma3:12b,Giannis Antetokounmpo
300,Giannis Antetokounmpo,Dave DeBusschere,gemma3:12b,Giannis Antetokounmpo
301,Giannis Antetokounmpo,Clyde Drexler,gemma3:12b,Giannis Antetokounmpo
302,Giannis Antetokounmpo,Tim Duncan,gemma3:12b,Giannis Antetokounmpo
303,Giannis Antetokounmpo,Kevin Durant,gemma3:12b,Giannis Antetokounmpo
304,Giannis Antetokounmpo,Julius Erving,gemma3:12b,Giannis Antetokounmpo
305,Giannis Antetokounmpo,Patrick Ewing,gemma3:12b,Giannis Antetokounmpo
306,Giannis Antetokounmpo,Walt Frazier,gemma3:12b,Giannis Antetokounmpo
307,Giannis Antetokounmpo,Kevin Garnett,gemma3:12b,Giannis Antetokounmpo
308,Giannis Antetokounmpo,George Gervin,gemma3:12b,Giannis Antetokounmpo
309,Giannis Antetokounmpo,Hal Greer,gemma3:12b,Giannis Antetokounmpo
310,Giannis Antetokounmpo,James Harden,gemma3:12b,Giannis Antetokounmpo
311,Giannis Antetokounmpo,John Havlicek,gemma3:12b,Giannis Antetokounmpo
312,Giannis Antetokounmpo,Elvin Hayes,gemma3:12b,Giannis Antetokounmpo
313,Giannis Antetokounmpo,Allen Iverson,gemma3:12b,Giannis Antetokounmpo
314,Giannis Antetokounmpo,LeBron James,gemma3:12b,Giannis Antetokounmpo
315,Giannis Antetokounmpo,Magic Johnson,gemma3:12b,Giannis Antetokounmpo
316,Giannis Antetokounmpo,Sam Jones,gemma3:12b,Giannis Antetokounmpo
317,Giannis Antetokounmpo,Michael Jordan,gemma3:12b,Michael Jordan
318,Giannis Antetokounmpo,Jason Kidd,gemma3:12b,Giannis Antetokounmpo
319,Giannis Antetokounmpo,Kawhi Leonard,gemma3:12b,Giannis Antetokounmpo
320,Giannis Antetokounmpo,Damian Lillard,gemma3:12b,Giannis Antetokounmpo
321,Giannis Antetokounmpo,Jerry Lucas,gemma3:12b,Giannis Antetokounmpo
322,Giannis Antetokounmpo,Karl Malone,gemma3:12b,Giannis Antetokounmpo
323,Giannis Antetokounmpo,Moses Malone,gemma3:12b,Giannis Antetokounmpo
324,Giannis Antetokounmpo,Pete Maravich,gemma3:12b,Giannis Antetokounmpo
325,Giannis Antetokounmpo,Bob McAdoo,gemma3:12b,Giannis Antetokounmpo
326,Giannis Antetokounmpo,Kevin McHale,gemma3:12b,Giannis Antetokounmpo
327,Giannis Antetokounmpo,George Mikan,gemma3:12b,Giannis Antetokounmpo
328,Giannis Antetokounmpo,Reggie Miller,gemma3:12b,Giannis Antetokounmpo
329,Giannis Antetokounmpo,Earl Monroe,gemma3:12b,Giannis Antetokounmpo
330,Giannis Antetokounmpo,Steve Nash,gemma3:12b,Giannis Antetokounmpo
331,Giannis Antetokounmpo,Dirk Nowitzki,gemma3:12b,Giannis Antetokounmpo
332,Giannis Antetokounmpo,Hakeem Olajuwon,gemma3:12b,Hakeem Olajuwon
333,Giannis Antetokounmpo,Shaquille O'Neal,gemma3:12b,Giannis Antetokounmpo
334,Giannis Antetokounmpo,Robert Parish,gemma3:12b,Giannis Antetokounmpo
335,Giannis Antetokounmpo,Chris Paul,gemma3:12b,Giannis Antetokounmpo
336,Giannis Antetokounmpo,Gary Payton,gemma3:12b,Giannis Antetokounmpo
337,Giannis Antetokounmpo,Bob Pettit,gemma3:12b,Giannis Antetokounmpo
338,Giannis Antetokounmpo,Paul Pierce,gemma3:12b,Giannis Antetokounmpo
339,Giannis Antetokounmpo,Scottie Pippen,gemma3:12b,Giannis Antetokounmpo
